场景ID,定价模式,平均成功率,测试次数,平均价格偏离率,平均剩余分配公平度,平均期望收敛效率,平均Gas消耗,平均匹配时间
L1,BASELINE,1.0,60,0.05309244306372631,0.828714934274378,-2.334761027874874,700457.2666666667,0.09440166666666668
L1,NASH,1.0,30,0.07879044739266251,0.9999950525521873,-5.962199283754061,688632.9333333333,0.08757
L1,STATIC,0.9666666666666667,30,7.951731727877851e-07,0.674042440621917,-3.596581554451652,686801.0666666667,0.08223666666666667
L2,BASELINE,0.9833333333333333,60,0.05292732163114961,0.8358960287119584,-0.4301034115041655,699704.0,0.09784333333333332
L2,NASH,1.0,30,0.07971143078430923,0.9999961665969139,-0.9892877573227311,688631.0666666667,0.08753333333333332
L2,STATIC,0.9666666666666667,30,7.43242156733095e-07,0.7932321155916074,-3.159258605803806,686804.0,0.08537333333333333
M1,BASELINE,1.0,60,0.06106333232603494,0.8429737592577985,-1.6572736188077113,700219.1166666667,0.09940833333333333
M1,NASH,0.9666666666666667,30,0.1391121262055552,0.9999937819332027,-0.6019532047384512,687521.6,0.08714
M1,STATIC,0.9,30,1.0633624531209564e-06,0.6864665441629272,-1.6743127143169565,685228.8666666667,0.08379
M2,BASELINE,0.9833333333333333,60,0.06673367968445365,0.8316647621320146,-4.844122411102753,699638.8,0.09917333333333334
M2,NASH,1.0,30,0.11341258888293147,0.999989127993849,-0.5107795226009314,688634.0,0.08478000000000001
M2,STATIC,0.8333333333333334,30,1.1863824757810233e-06,0.642532336977456,-1.5857941518290415,683456.3333333334,0.08358
S1,BASELINE,0.9833333333333333,60,0.06959748250973304,0.8083497661779587,-3.7637378726499153,679510.45,0.09992166666666667
S1,NASH,1.0,30,0.14862237449120527,0.9999978000312569,-10.026611468616029,668721.0666666667,0.08851666666666666
S1,STATIC,0.9,30,5.077378123394829e-07,0.7044217017608084,-1.2339585340789947,665253.3666666667,0.08346
S2,BASELINE,0.9833333333333333,60,0.06770590756773803,0.8278754706569285,-0.9654224389652197,679367.7833333333,0.09724666666666668
S2,NASH,1.0,30,0.15707140488751495,0.9999976263174764,-2.156637073699186,668718.0,0.08751333333333333
S2,STATIC,0.8333333333333334,30,3.3968297558021717e-07,0.35795944444121,-1.1833592099759591,663078.8333333334,0.08295666666666666
