test_id,repeat_idx,mode,scenario,P_off,P_res_s,P_res_b,p_0_s,p_0_b,offchain_time,total_gas,match_time,match_success,failure_reason,P_on,PDR,buyer_addr,seller_addr,SDF,ECE
S1,0,BASELINE,"{""market"": ""\u9ad8\u6ce2\u52a8"", ""quality"": ""\u4f4e\u8d28\u91cf""}",93.01,59.525779486248965,150.15150920064352,65.87574607002438,139.74914908035714,0.0,677252,0.1511,1,No matching event found,94.8476,0.019770456720172976,buyer_S1_0,seller_S1_0,0.8897548811476295,0.0
S1,1,BASELINE,"{""market"": ""\u9ad8\u6ce2\u52a8"", ""quality"": ""\u4f4e\u8d28\u91cf""}",96.71,78.22300902210371,127.63997401852846,128.70347098943387,93.24286615985757,0.0,681015,0.172,1,No matching event found,99.1207,0.02497693159583043,buyer_S1_1,seller_S1_1,0.9228849541732926,0.0
S1,2,BASELINE,"{""market"": ""\u9ad8\u6ce2\u52a8"", ""quality"": ""\u4f4e\u8d28\u91cf""}",103.05,92.91670967109137,145.49428448534306,121.35877583446228,47.32831924682626,0.0,681562,0.137,1,No matching event found,104.4722,0.01379774227792024,buyer_S1_2,seller_S1_2,0.7197798276115315,0.0
S1,3,BASELINE,"{""market"": ""\u9ad8\u6ce2\u52a8"", ""quality"": ""\u4f4e\u8d28\u91cf""}",92.97,58.21713233719525,118.47910508715151,85.08961756719177,88.32959096260132,0.0,677268,0.1166,1,No matching event found,90.5029,0.026554099170949162,buyer_S1_3,seller_S1_3,0.9642431007566347,-1.3415598044588037
S1,4,BASELINE,"{""market"": ""\u9ad8\u6ce2\u52a8"", ""quality"": ""\u4f4e\u8d28\u91cf""}",95.11,55.31139217918569,142.20582499697585,64.89432196998993,128.5184403348421,0.0,677252,0.1228,1,No matching event found,94.3529,0.007936827649662945,buyer_S1_4,seller_S1_4,0.9492981489698065,0.0
S1,5,BASELINE,"{""market"": ""\u9ad8\u6ce2\u52a8"", ""quality"": ""\u4f4e\u8d28\u91cf""}",91.82,86.99224687725366,98.36796757487402,140.36113850090462,56.45899945430961,0.0,682129,0.1207,1,No matching event found,95.4207,0.039173184703821286,buyer_S1_5,seller_S1_5,0.7590840310882938,0.0
S1,6,BASELINE,"{""market"": ""\u9ad8\u6ce2\u52a8"", ""quality"": ""\u4f4e\u8d28\u91cf""}",89.21,56.82806555889593,126.35699233221803,87.18011875241812,87.59562510098388,0.0,681031,0.1133,1,No matching event found,88.7996,0.00459436470564132,buyer_S1_6,seller_S1_6,0.9598306909775485,-5.795217826018757
S1,7,BASELINE,"{""market"": ""\u9ad8\u6ce2\u52a8"", ""quality"": ""\u4f4e\u8d28\u91cf""}",89.14,66.8610923456973,125.1452684379219,71.40331991889238,82.22628202802072,0.0,677268,0.128,1,No matching event found,85.9825,0.03544326203398786,buyer_S1_7,seller_S1_7,0.8280720246271713,-0.6941201371870644
S1,8,BASELINE,"{""market"": ""\u9ad8\u6ce2\u52a8"", ""quality"": ""\u4f4e\u8d28\u91cf""}",87.85,55.821981773361635,121.59368515076699,62.203538337815075,68.06851816826641,0.0,681031,0.1391,1,No matching event found,81.2873,0.0747546906880888,buyer_S1_8,seller_S1_8,0.887177417019528,-4.507698990915833
S1,9,BASELINE,"{""market"": ""\u9ad8\u6ce2\u52a8"", ""quality"": ""\u4f4e\u8d28\u91cf""}",93.9,88.34241998690457,151.23148067585464,97.9632605808033,137.03523964669822,0.0,677236,0.1059,1,No matching event found,98.7466,0.051618558146526196,buyer_S1_9,seller_S1_9,0.6654370394328929,0.0
