test_id,repeat_idx,mode,scenario,P_off,P_res_s,P_res_b,p_0_s,p_0_b,offchain_time,total_gas,match_time,match_success,failure_reason,P_on,PDR,buyer_addr,seller_addr,SDF,ECE
S1,0,BASELINE,"{""market"": ""\u9ad8\u6ce2\u52a8"", ""quality"": ""\u4f4e\u8d28\u91cf""}",90.95,75.73079697553477,127.94895296468107,87.92965077750235,121.20169688058103,0.0,677252,0.0954,1,No matching event found,95.2537,0.04732283749446212,buyer_S1_0,seller_S1_0,0.8738719350511557,0.0
S1,1,BASELINE,"{""market"": ""\u9ad8\u6ce2\u52a8"", ""quality"": ""\u4f4e\u8d28\u91cf""}",88.11,58.11681121800963,120.11391354136869,89.1662502148755,104.61641993308378,0.0,677236,0.0967,1,No matching event found,90.0027,0.021459580441565224,buyer_S1_1,seller_S1_1,0.9856874339758213,0.0
S1,2,BASELINE,"{""market"": ""\u9ad8\u6ce2\u52a8"", ""quality"": ""\u4f4e\u8d28\u91cf""}",94.16,66.91463843606891,134.5481957195217,106.96313394837645,84.40399028996094,0.0,681015,0.1066,1,No matching event found,95.9324,0.01885104210345981,buyer_S1_2,seller_S1_2,0.9290438464195727,0.0
S1,3,BASELINE,"{""market"": ""\u9ad8\u6ce2\u52a8"", ""quality"": ""\u4f4e\u8d28\u91cf""}",91.69,100.88742703644085,150.63110805088755,145.4621967354943,76.6539641269675,0.0,681562,0.1199,1,No matching event found,110.8969,0.2094931435079821,buyer_S1_3,seller_S1_3,0.7012209944948017,0.0
S1,4,BASELINE,"{""market"": ""\u9ad8\u6ce2\u52a8"", ""quality"": ""\u4f4e\u8d28\u91cf""}",86.02,76.23242417447176,141.4553982016791,80.94242770199965,84.18253966924692,0.0,681031,0.0976,1,No matching event found,85.3094,0.008214195921978517,buyer_S1_4,seller_S1_4,0.6391683829342378,-0.695568759440391
S1,5,BASELINE,"{""market"": ""\u9ad8\u6ce2\u52a8"", ""quality"": ""\u4f4e\u8d28\u91cf""}",87.8,89.31074131123182,136.1511148218625,101.6968107930422,45.052398513677474,0.0,677799,0.0919,1,No matching event found,92.1148,0.04911974818903755,buyer_S1_5,seller_S1_5,0.5598641402407216,0.0
S1,6,BASELINE,"{""market"": ""\u9ad8\u6ce2\u52a8"", ""quality"": ""\u4f4e\u8d28\u91cf""}",97.94,96.98486710738254,103.73682479369752,150.2818279181026,38.89967850820111,0.0,682129,0.1042,1,No matching event found,102.0395,0.04183544716130833,buyer_S1_6,seller_S1_6,0.7513826170945493,0.0
S1,7,BASELINE,"{""market"": ""\u9ad8\u6ce2\u52a8"", ""quality"": ""\u4f4e\u8d28\u91cf""}",98.91,82.00781821272683,148.01894155618794,103.23565349538504,52.4953518767941,0.0,681562,0.1225,1,No matching event found,98.4369,0.004757186709368038,buyer_S1_7,seller_S1_7,0.7488835359124454,0.0
S1,8,BASELINE,"{""market"": ""\u9ad8\u6ce2\u52a8"", ""quality"": ""\u4f4e\u8d28\u91cf""}",96.26,70.09000467978986,118.97727390454426,85.0394481230188,73.91401754826987,0.0,681031,0.1073,1,No matching event found,92.9076,0.034874003462411,buyer_S1_8,seller_S1_8,0.9667390034675183,-1.4144444701024548
S1,9,BASELINE,"{""market"": ""\u9ad8\u6ce2\u52a8"", ""quality"": ""\u4f4e\u8d28\u91cf""}",91.14,63.138960630791814,131.0897467456243,84.67944779154998,110.67432601593106,0.0,677240,0.0942,1,No matching event found,94.5349,0.03723653795138778,buyer_S1_9,seller_S1_9,0.9620393841529817,0.0
