test_id,repeat_idx,mode,scenario,P_off,P_res_s,P_res_b,p_0_s,p_0_b,offchain_time,total_gas,match_time,match_success,failure_reason,P_on,PDR,buyer_addr,seller_addr,SDF,ECE
S1,16,BASELINE,"{""market"": ""\u9ad8\u6ce2\u52a8"", ""quality"": ""\u4f4e\u8d28\u91cf""}",86.87,48.851777405703466,109.34778334083758,62.05300770790794,51.958045536875304,0.0,681079,0.1017,1,No matching event found,76.9009,0.11470881533883337,buyer_S1_16,seller_S1_16,0.9636524702865799,-2.94164396865159
S1,17,BASELINE,"{""market"": ""\u9ad8\u6ce2\u52a8"", ""quality"": ""\u4f4e\u8d28\u91cf""}",94.6,79.67488159042537,123.47853539220539,114.96671926561926,75.18589317910248,0.0,681063,0.1051,1,No matching event found,93.7796,0.008699073230352532,buyer_S1_17,seller_S1_17,0.821998673293356,0.0
S1,18,BASELINE,"{""market"": ""\u9ad8\u6ce2\u52a8"", ""quality"": ""\u4f4e\u8d28\u91cf""}",89.02,57.03842214736962,133.88646171048734,70.53630586332378,79.98955453657035,0.0,677316,0.0913,1,No matching event found,85.3024,0.0417649808795204,buyer_S1_18,seller_S1_18,0.8677904864367593,-1.1240253265452362
S1,19,BASELINE,"{""market"": ""\u9ad8\u6ce2\u52a8"", ""quality"": ""\u4f4e\u8d28\u91cf""}",91.97,74.8824830573864,108.00076010697202,104.07548404207103,73.62627293217295,0.0,681063,0.1048,1,No matching event found,94.0592,0.022666797508855484,buyer_S1_19,seller_S1_19,0.9209627235770242,0.0
S1,20,BASELINE,"{""market"": ""\u9ad8\u6ce2\u52a8"", ""quality"": ""\u4f4e\u8d28\u91cf""}",90.41,60.215791405592704,141.87827793956038,99.45179597987013,115.12945867188562,0.0,677284,0.0935,1,No matching event found,96.4948,0.06733547916435902,buyer_S1_20,seller_S1_20,0.9442554976490579,-0.3772240847324906
S1,21,BASELINE,"{""market"": ""\u9ad8\u6ce2\u52a8"", ""quality"": ""\u4f4e\u8d28\u91cf""}",95.1,55.07990304252985,110.77377046448785,79.70433406597103,49.158250590055225,0.0,681079,0.1026,1,No matching event found,87.9028,0.07566682843925447,buyer_S1_21,seller_S1_21,0.910655095851194,-0.5367932645435931
S1,22,BASELINE,"{""market"": ""\u9ad8\u6ce2\u52a8"", ""quality"": ""\u4f4e\u8d28\u91cf""}",94.27,105.80252581501522,141.83709856342958,160.56747506538,107.4482447839997,0.0,681594,0.1038,1,No matching event found,109.4898,0.16143379018350104,buyer_S1_22,seller_S1_22,0.6023260137071291,0.0
S1,23,BASELINE,"{""market"": ""\u9ad8\u6ce2\u52a8"", ""quality"": ""\u4f4e\u8d28\u91cf""}",95.79,107.83798260710074,155.2431690559248,145.03303754145708,145.3625775226984,0.0,677284,0.0942,1,No matching event found,117.9883,0.23169393502012411,buyer_S1_23,seller_S1_23,0.7141182885939487,-164.13630564391605
S1,24,BASELINE,"{""market"": ""\u9ad8\u6ce2\u52a8"", ""quality"": ""\u4f4e\u8d28\u91cf""}",91.22,96.79985758319087,95.5767617611645,121.1028980403827,46.09462878390085,0.0,635402,0.0694,0,买家保留价低于卖家保留价; 价格超出容错范围,,,,,,
S1,25,BASELINE,"{""market"": ""\u9ad8\u6ce2\u52a8"", ""quality"": ""\u4f4e\u8d28\u91cf""}",93.36,84.67031722975699,141.14029966171339,113.17529226800313,89.28844666487383,0.0,681063,0.0929,1,No matching event found,95.9936,0.028163015900209015,buyer_S1_25,seller_S1_25,0.7005186168401419,0.0
